FirstName,LastName,Position,JerseyNo,Height,Weight,DOB,College,
Shake,Milton,G/F,18,6 ft 5 in (1.96 m),205 lb (93 kg),1996–09–26,SMU,
Raul,Neto,G,19,6 ft 1 in (1.85 m),180 lb (82 kg),1992–05–19,NaN,
Kyle,O'Quinn,F/C,9,6 ft 9 in (2.06 m),250 lb (113 kg),1990–03–26,Norfolk State,
Norvel,Pelle,F,14,6 ft 10 in (2.08 m),231 lb (105 kg),1993–02–03,NaN,
Josh,Richardson,G,0,6 ft 5 in (1.96 m),200 lb (91 kg),1993–09–15,Tennessee,
Glenn,Robinson,F,40,6 ft 6 in (1.98 m),222 lb (101 kg),1994–01–08,Michigan,
Mike,Scott,F,1,6 ft 7 in (2.01 m),237 lb (108 kg),1988–07–16,Virginia,
Marial,Shayok,G,35,6 ft 5 in (1.96 m),196 lb (89 kg),1995–07–26,Iowa State,
Ben,Simmons,G/F,25,6 ft 10 in (2.08 m),240 lb (109 kg),1996–07–20,LSU,
Zhaire,Smith,G,5,6 ft 3 in (1.91 m),205 lb (93 kg),1999–06–04,Texas Tech,
Matisse,Thybulle,G,22,6 ft 5 in (1.96 m),200 lb (91 kg),1997–03–04,Washington,
OG,Anunoby,F,3,6 ft 7 in (2.01 m),232 lb (105 kg),1997–07–17,Indiana,
Chris,Boucher,F,25,6 ft 9 in (2.06 m),200 lb (91 kg),1993–01–11,Oregon,
Oshae,Brissett,F,12,6 ft 7 in (2.01 m),210 lb (95 kg),1998–06–20,Syracuse,
Terence,Davis,G,0,6 ft 4 in (1.93 m),205 lb (93 kg),1997–05–16,Ole Miss,
Marc,Gasol,C,33,7 ft 1 in (2.16 m),255 lb (116 kg),1985–01–29,NaN,
Dewan,Hernandez,F,20,6 ft 10 in (2.08 m),235 lb (107 kg),1996–12–09,Miami (FL),
Rondae,Hollis-Jefferson,F,4,6 ft 7 in (2.01 m),217 lb (98 kg),1995–01–03,Arizona,
Serge,Ibaka,F/C,9,7 ft 0 in (2.13 m),235 lb (107 kg),1989–09–18,NaN,
Stanley,Johnson,F,5,6 ft 7 in (2.01 m),245 lb (111 kg),1996–05–29,Arizona,
Kyle,Lowry,G,7,6 ft 0 in (1.83 m),196 lb (89 kg),1986–03–25,Villanova,
Patrick,McCaw,G,22,6 ft 7 in (2.01 m),185 lb (84 kg),1995–10–25,UNLV,
Malcolm,Miller,F,13,6 ft 7 in (2.01 m),210 lb (95 kg),1993–03–06,Holy Cross,
Norman,Powell,G/F,24,6 ft 3 in (1.91 m),215 lb (98 kg),1993–05–25,UCLA,
Pascal,Siakam,F,43,6 ft 9 in (2.06 m),230 lb (104 kg),1994–04–02,New Mexico State,
Matt,Thomas,G,21,6 ft 4 in (1.93 m),190 lb (86 kg),1994–08–04,Iowa State,
Fred,VanVleet,G,23,6 ft 0 in (1.83 m),195 lb (88 kg),1994–02–25,Wichita State,
Paul,Watson,F,1,6 ft 6 in (1.98 m),210 lb (95 kg),1994–12–30,Fresno State,
Ryan,Arcidiacono,G,51,6 ft 3 in (1.91 m),195 lb (88 kg),1994–03–26,Villanova,
Wendell,Carter,F/C,34,6 ft 9 in (2.06 m),270 lb (122 kg),1999–04–16,Duke,
Kris,Dunn,G,32,6 ft 3 in (1.91 m),205 lb (93 kg),1994–03–18,Providence,
Cristiano,Felicio,F/C,6,6 ft 10 in (2.08 m),270 lb (122 kg),1992–07–07,NaN,
Daniel,Gafford,F/C,12,6 ft 10 in (2.08 m),234 lb (106 kg),1998–10–01,Arkansas,
Shaquille,Harrison,G,3,6 ft 7 in (2.01 m),190 lb (86 kg),1993–10–06,Tulsa,
Chandler,Hutchison,G/F,15,6 ft 7 in (2.01 m),210 lb (95 kg),1996–04–26,Boise State,
Luke,Kornet,F/C,2,7 ft 2 in (2.18 m),250 lb (113 kg),1995–07–15,Vanderbilt,
Zach,LaVine,G/F,8,6 ft 6 in (1.98 m),200 lb (91 kg),1995–03–10,UCLA,
Lauri,Markkanen,F/C,24,7 ft 0 in (2.13 m),240 lb (109 kg),1997–05–22,Arizona,
Adam,Mokoka,G,20,6 ft 5 in (1.96 m),190 lb (86 kg),1998–07–18,NaN,
Otto,Porter,F,22,6 ft 8 in (2.03 m),198 lb (90 kg),1993–06–03,Georgetown,
Tomas,Satoransky,G,31,6 ft 7 in (2.01 m),210 lb (95 kg),1991–10–30,NaN,
Max,Strus,G/F,28,6 ft 5 in (1.96 m),215 lb (98 kg),1996–03–28,DePaul,
Denzel,Valentine,G,45,6 ft 4 in (1.93 m),220 lb (100 kg),1993–11–16,Michigan State,
Coby,White,G,0,6 ft 4 in (1.93 m),195 lb (88 kg),2000–02–16,North Carolina,
Thaddeus,Young,F,21,6 ft 8 in (2.03 m),235 lb (107 kg),1988–06–21,Georgia Tech,
Matthew,Dellavedova,G,18,6 ft 3 in (1.91 m),200 lb (91 kg),1990–09–08,Saint Mary's,
Andre,Drummond,C,3,6 ft 10 in (2.08 m),279 lb (127 kg),1993–08–10,Connecticut,
Dante,Exum,G,1,6 ft 5 in (1.96 m),214 lb (97 kg),1995–07–13,NaN,
Darius,Garland,G,10,6 ft 1 in (1.85 m),192 lb (87 kg),2000–01–26,Vanderbilt,
Kevin,Love,F/C,0,6 ft 8 in (2.03 m),251 lb (114 kg),1988–09–07,UCLA,
Sheldon,Mac,G/F,5,6 ft 6 in (1.98 m),200 lb (91 kg),1992-12-21,NaN,
Alfonzo,McKinnie,F,28,6 ft 7 in (2.01 m),215 lb (98 kg),1992–09–17,Green Bay,
Matt,Mooney,G,31,6 ft 2 in (1.88 m),199 lb (90 kg),1995–02–07,Texas Tech,
Larry,Nance,F/C,22,6 ft 7 in (2.01 m),245 lb (111 kg),1993–01–01,Wyoming,
Cedi,Osman,F,16,6 ft 7 in (2.01 m),230 lb (104 kg),1995–04–08,NaN,
Sir'Dominic,Pointer,G/F,15,6 ft 6 in (1.98 m),192 lb (87 kg),1992-05-06,NaN,
Kevin,Porter,G/F,4,6 ft 4 in (1.93 m),203 lb (92 kg),2000–05–04,USC,
Collin,Sexton,G,2,6 ft 1 in (1.85 m),190 lb (86 kg),1999–01–04,Alabama,
Tristan,Thompson,F/C,13,6 ft 9 in (2.06 m),254 lb (115 kg),1991–03–13,Texas,
Dean,Wade,F/C,32,6 ft 9 in (2.06 m),228 lb (103 kg),1996–11–20,Kansas State,
Dylan,Windler,G/F,9,6 ft 6 in (1.98 m),196 lb (89 kg),1996–09–22,NaN,
Ante,Zizic,C,41,6 ft 10 in (2.08 m),266 lb (121 kg),1997–01–04,NaN,
Jordan,Bone,G,18,6 ft 3 in (1.91 m),180 lb (82 kg),1997–11–05,Tennessee,
Bruce,Brown,G/F,6,6 ft 4 in (1.93 m),202 lb (92 kg),1996–08–15,Miami (FL),
Sekou,Doumbouya,F,45,6 ft 8 in (2.03 m),230 lb (104 kg),2000–12–23,NaN,
Langston,Galloway,G,9,6 ft 1 in (1.85 m),200 lb (91 kg),1991–12–09,Saint Joseph's,
Blake,Griffin,F,23,6 ft 9 in (2.06 m),250 lb (113 kg),1989–03–16,Oklahoma,
Donta,Hall,F,42,6 ft 9 in (2.06 m),229 lb (104 kg),1997–08–07,Alabama,
John,Henson,F/C,31,6 ft 9 in (2.06 m),219 lb (99 kg),1990–12–28,North Carolina,
Luke,Kennard,G,5,6 ft 5 in (1.96 m),206 lb (93 kg),1996–06–24,Duke,
Louis,King,F,14,6 ft 7 in (2.01 m),205 lb (93 kg),1999–04–06,Oregon,
Brandon,Knight,G,20,6 ft 2 in (1.88 m),182 lb (83 kg),1991–12–02,Kentucky,
Thon,Maker,F/C,7,7 ft 0 in (2.13 m),221 lb (100 kg),1997–02–25,NaN,
Jordan,McRae,G/F,52,6 ft 5 in (1.96 m),179 lb (81 kg),1991–03–28,Tennessee,
Sviatoslav,Mykhailiuk,G/F,19,6 ft 7 in (2.01 m),205 lb (93 kg),1997–06–10,Kansas,
Derrick,Rose,G,25,6 ft 2 in (1.88 m),200 lb (91 kg),1988–10–04,Memphis,
Tony,Snell,G,17,6 ft 6 in (1.98 m),213 lb (97 kg),1991–11–10,New Mexico,
Khyri,Thomas,G,13,6 ft 3 in (1.91 m),210 lb (95 kg),1996–05–08,Creighton,
Christian,Wood,F,35,6 ft 10 in (2.08 m),214 lb (97 kg),1995–09–27,UNLV,
Goga,Bitadze,C,88,6 ft 11 in (2.11 m),250 lb (113 kg),1999–07–20,NaN,
Brian,Bowen,F,10,6 ft 6 in (1.98 m),190 lb (86 kg),1998–10–02,NaN,
Malcolm,Brogdon,G,7,6 ft 5 in (1.96 m),223 lb (101 kg),1992–12–11,Virginia,
Aaron,Holiday,G,3,6 ft 0 in (1.83 m),185 lb (84 kg),1996–09–30,UCLA,
Justin,Holiday,G,8,6 ft 6 in (1.98 m),180 lb (82 kg),1989–04–05,Washington,
Alize,Johnson,F,24,6 ft 7 in (2.01 m),201 lb (91 kg),1996–04–22,Missouri State,
Jeremy,Lamb,G,26,6 ft 5 in (1.96 m),180 lb (82 kg),1992–05–30,Connecticut,
T. J.,Leaf,F,22,6 ft 10 in (2.08 m),222 lb (101 kg),1997–04–30,NaN,
T. J.,McConnell,G,9,6 ft 1 in (1.85 m),200 lb (91 kg),1992–03–25,NaN,
Doug,McDermott,F,20,6 ft 7 in (2.01 m),218 lb (99 kg),1992–01–03,Creighton,
Naz,Mitrou-Long,G,15,6 ft 3 in (1.91 m),218 lb (99 kg),1993–08–03,Iowa State,
Victor,Oladipo,G,4,6 ft 4 in (1.93 m),213 lb (97 kg),1992–05–04,Indiana,
Domantas,Sabonis,F,11,6 ft 11 in (2.11 m),231 lb (105 kg),1996–05–03,Gonzaga,
JaKarr,Sampson,F,14,6 ft 7 in (2.01 m),223 lb (101 kg),1993–02–20,St. John's,
Edmond,Sumner,G,5,6 ft 4 in (1.93 m),186 lb (84 kg),1995–12–31,Xavier,
Myles,Turner,C,33,6 ft 11 in (2.11 m),239 lb (108 kg),1996–03–24,Texas,
T. J.,Warren,F,1,6 ft 8 in (2.03 m),220 lb (100 kg),1993–09–05,NaN,
Giannis,Antetokounmpo,F,34,6 ft 11 in (2.11 m),242 lb (110 kg),1994–12–06,NaN,
Thanasis,Antetokounmpo,F,43,6 ft 6 in (1.98 m),219 lb (99 kg),1992–07–18,NaN,
Eric,Bledsoe,G,6,6 ft 1 in (1.85 m),214 lb (97 kg),1989–12–09,Kentucky,
Sterling,Brown,G/F,23,6 ft 5 in (1.96 m),219 lb (99 kg),1995–02–10,SMU,
Pat,Connaughton,G,24,6 ft 5 in (1.96 m),209 lb (95 kg),1993–01–06,Notre Dame,
Donte,DiVincenzo,G,0,6 ft 4 in (1.93 m),203 lb (92 kg),1997–01–31,Villanova,
George,Hill,G,3,6 ft 3 in (1.91 m),188 lb (85 kg),1986–05–04,IUPUI,
Ersan,Ilyasova,F,7,6 ft 9 in (2.06 m),235 lb (107 kg),1987–05–15,NaN,
Kyle,Korver,G/F,26,6 ft 7 in (2.01 m),212 lb (96 kg),1981–03–17,Creighton,
Brook,Lopez,C,11,7 ft 0 in (2.13 m),270 lb (122 kg),1988–04–01,Stanford,
Robin,Lopez,C,42,7 ft 0 in (2.13 m),281 lb (127 kg),1988–04–01,Stanford,
Frank,Mason,G,15,5 ft 11 in (1.80 m),190 lb (86 kg),1994–04–03,Kansas,
Wesley,Matthews,G,9,6 ft 4 in (1.93 m),220 lb (100 kg),1986–10–14,Marquette,
Khris,Middleton,F,22,6 ft 7 in (2.01 m),222 lb (101 kg),1991–08–12,Texas A&M,
Cameron,Reynolds,G/F,13,6 ft 7 in (2.01 m),225 lb (102 kg),1995–02–07,Tulane,
Marvin,Williams,F,2,6 ft 8 in (2.03 m),237 lb (108 kg),1986–06–19,North Carolina,
D. J.,Wilson,F,5,6 ft 10 in (2.08 m),231 lb (105 kg),1996–02–19,NaN,
DeAndre',Bembry,G/F,95,6 ft 5 in (1.96 m),210 lb (95 kg),1994–07–04,Saint Joseph's,
Charlie,Brown,F,4,6 ft 6 in (1.98 m),199 lb (90 kg),1998–02–02,Saint Joseph's,
Clint,Capela,C,17,6 ft 10 in (2.08 m),240 lb (109 kg),1994–05–18,NaN,
Vince,Carter,G/F,15,6 ft 6 in (1.98 m),220 lb (100 kg),1977–01–26,North Carolina,
John,Collins,F,20,6 ft 9 in (2.06 m),235 lb (107 kg),1997–09–23,Wake Forest,
Dewayne,Dedmon,C,14,7 ft 0 in (2.13 m),245 lb (111 kg),1989–08–12,USC,
Bruno,Fernando,F/C,24,6 ft 9 in (2.06 m),233 lb (106 kg),1998–08–15,Maryland,
Brandon,Goodwin,G,0,6 ft 0 in (1.83 m),180 lb (82 kg),1995–10–02,Florida Gulf Coast,
Treveon,Graham,G/F,2,6 ft 5 in (1.96 m),219 lb (99 kg),1993–10–28,Virginia Commonwealth,
Kevin,Huerter,G/F,3,6 ft 7 in (2.01 m),190 lb (86 kg),1998–08–27,Maryland,
De'Andre,Hunter,G/F,12,6 ft 7 in (2.01 m),225 lb (102 kg),1997–12–02,Virginia,
Damian,Jones,C,30,6 ft 11 in (2.11 m),245 lb (111 kg),1995–06–30,Vanderbilt,
Skal,Labissiere,F,7,6 ft 11 in (2.11 m),235 lb (107 kg),1996–03–18,Kentucky,
Cam,Reddish,G/F,22,6 ft 8 in (2.03 m),218 lb (99 kg),1999–09–01,Duke,
Jeff,Teague,G,0,6 ft 3 in (1.91 m),181 lb (82 kg),1988–06–10,Wake Forest,
Trae,Young,G,11,6 ft 1 in (1.85 m),180 lb (82 kg),1998–09–19,Oklahoma,
Dwayne,Bacon,G/F,7,6 ft 6 in (1.98 m),221 lb (100 kg),1995–08–30,Florida State,
Nicolas,Batum,G/F,5,6 ft 9 in (2.06 m),230 lb (104 kg),1988–12–14,NaN,
Bismack,Biyombo,C,8,6 ft 8 in (2.03 m),255 lb (116 kg),1992–08–28,NaN,
Joe,Chealey,G,31,6 ft 3 in (1.91 m),190 lb (86 kg),1995–11–01,Charleston,
Miles,Bridges,F,0,6 ft 6 in (1.98 m),225 lb (102 kg),1998–03–21,Michigan State,
Devonte',Graham,G,4,6 ft 1 in (1.85 m),195 lb (88 kg),1995–02–22,Kansas,
Willy,Hernangomez,F/C,9,6 ft 11 in (2.11 m),250 lb (113 kg),1994–05–27,NaN,
Caleb,Martin,F,10,6 ft 5 in (1.96 m),205 lb (93 kg),1995–09–28,Nevada,
Cody,Martin,F,11,6 ft 5 in (1.96 m),205 lb (93 kg),1995–09–28,Nevada,
Jalen,McDaniels,F/C,6,6 ft 10 in (2.08 m),205 lb (93 kg),1998–01–31,San Diego State,
Malik,Monk,G,1,6 ft 3 in (1.91 m),200 lb (91 kg),1998–02–04,Kentucky,
Terry,Rozier,G,3,6 ft 1 in (1.85 m),190 lb (86 kg),1994–03–17,Louisville,
Kobi,Simmons,G,23,6 ft 5 in (1.96 m),180 lb (82 kg),1997–07–04,Arizona,
Ray,Spalding,F,26,6 ft 9 in (2.06 m),225 lb (102 kg),1997–03–11,Louisville,
P. J.,Washington,F,25,6 ft 7 in (2.01 m),230 lb (104 kg),1998–08–23,NaN,
Cody,Zeller,F/C,40,7 ft 0 in (2.13 m),240 lb (109 kg),1992–10–05,Indiana,
Bam,Adebayo,F/C,13,6 ft 9 in (2.06 m),255 lb (116 kg),1997–07–18,Kentucky,
Kyle,Alexander,F/C,17,6 ft 10 in (2.08 m),216 lb (98 kg),1996–10–21,NaN,
Jimmy,Butler,F,22,6 ft 7 in (2.01 m),230 lb (104 kg),1989–09–14,Marquette,
Jae,Crowder,F,99,6 ft 6 in (1.98 m),235 lb (107 kg),1990–07–06,Marquette,
Goran,Dragic,G,7,6 ft 3 in (1.91 m),190 lb (86 kg),1986–05–06,NaN,
Udonis,Haslem,F,40,6 ft 8 in (2.03 m),235 lb (107 kg),1980–06–09,Florida,
Tyler,Herro,G,14,6 ft 5 in (1.96 m),195 lb (88 kg),2000-01-20,Kentucky,
Solomon,Hill,F,44,6 ft 7 in (2.01 m),225 lb (102 kg),1991–03–18,Arizona,
Andre,Iguodala,G/F,28,6 ft 6 in (1.98 m),215 lb (98 kg),1984–01–28,Arizona,
Derrick,Jones,F,5,6 ft 6 in (1.98 m),210 lb (95 kg),1997–02–15,UNLV,
Meyers,Leonard,F/C,0,7 ft 0 in (2.13 m),260 lb (118 kg),1992–02–27,Illinois,
Kendrick,Nunn,G,25,6 ft 2 in (1.88 m),190 lb (86 kg),1995–08–03,Oakland,
KZ,Okpala,G/F,4,6 ft 8 in (2.03 m),215 lb (98 kg),1999–04–28,Stanford,
Kelly,Olynyk,F/C,9,6 ft 11 in (2.11 m),240 lb (109 kg),1991–04–19,Gonzaga,
Duncan,Robinson,F,55,6 ft 7 in (2.01 m),215 lb (98 kg),1994–04–22,Michigan,
Chris,Silva,F,30,6 ft 8 in (2.03 m),234 lb (106 kg),1996–09–19,South Carolina,
Gabe,Vincent,G,2,6 ft 3 in (1.91 m),200 lb (91 kg),1996–06–14,UC Santa Barbara,
Al-Farouq,Aminu,F,2,6 ft 8 in (2.03 m),220 lb (100 kg),1990–09–21,Wake Forest,
D. J.,Augustin,G,14,5 ft 11 in (1.80 m),183 lb (83 kg),1987–11–10,NaN,
Mohamed,Bamba,C,5,7 ft 0 in (2.13 m),231 lb (105 kg),1998–05–12,Texas,
Khem,Birch,C,24,6 ft 9 in (2.06 m),220 lb (100 kg),1992–09–28,UNLV,
Michael,Carter-Williams,G,7,6 ft 5 in (1.96 m),190 lb (86 kg),1991–10–10,Syracuse,
Gary,Clark,F,12,6 ft 6 in (1.98 m),225 lb (102 kg),1994–11–16,Cincinnati,
James,Ennis,F,11,6 ft 6 in (1.98 m),215 lb (98 kg),1990–07–01,Long Beach State,
Evan,Fournier,G/F,10,6 ft 7 in (2.01 m),205 lb (93 kg),1992–10–29,NaN,
Melvin,Frazier,G/F,35,6 ft 5 in (1.96 m),215 lb (98 kg),1996–08–30,Tulane,
Markelle,Fultz,G,20,6 ft 3 in (1.91 m),209 lb (95 kg),1998–05–29,Washington,
Aaron,Gordon,F,0,6 ft 8 in (2.03 m),235 lb (107 kg),1995–09–16,Arizona,
Jonathan,Isaac,F,1,6 ft 11 in (2.11 m),230 lb (104 kg),1997–10–03,Florida State,
Wes,Iwundu,F,25,6 ft 6 in (1.98 m),195 lb (88 kg),1994–12–20,Kansas State,
B. J.,Johnson,G,13,6 ft 7 in (2.01 m),200 lb (91 kg),1995–12–21,NaN,
Vic,Law,F,23,6 ft 7 in (2.01 m),200 lb (91 kg),1995–12–19,Northwestern,
Terrence,Ross,G/F,31,6 ft 6 in (1.98 m),206 lb (93 kg),1991–02–05,Washington,
Nikola,Vucevic,C,9,6 ft 11 in (2.11 m),260 lb (118 kg),1990–10–24,USC,
Bradley,Beal,G,3,6 ft 5 in (1.96 m),207 lb (94 kg),1993–06–28,Florida,
Davis,Bertans,F,42,6 ft 10 in (2.08 m),225 lb (102 kg),1992–11–12,NaN,
Isaac,Bonga,G,17,6 ft 8 in (2.03 m),180 lb (82 kg),1999–11–08,NaN,
Troy,Brown,F,6,6 ft 7 in (2.01 m),215 lb (98 kg),1999–07–28,Oregon,
Thomas,Bryant,C,13,6 ft 11 in (2.11 m),248 lb (112 kg),1997–07–31,Indiana,
Rui,Hachimura,F,8,6 ft 8 in (2.03 m),230 lb (104 kg),1998–02–08,Gonzaga,
Ian,Mahinmi,C,28,6 ft 11 in (2.11 m),262 lb (119 kg),1986–11–05,NaN,
Garrison,Mathews,G,24,6 ft 5 in (1.96 m),204 lb (93 kg),1996–10–24,Lipscomb,
Shabazz,Napier,G,5,6 ft 0 in (1.83 m),175 lb (79 kg),1991–07–14,Connecticut,
Anzejs,Pasecniks,C,18,7 ft 2 in (2.18 m),229 lb (104 kg),1995–12–20,NaN,
Gary,Payton,G,20,6 ft 3 in (1.91 m),190 lb (86 kg),1992–12–01,Oregon State,
Jerome,Robinson,G,12,6 ft 4 in (1.93 m),190 lb (86 kg),1997–02–22,Boston College,
Admiral,Schofield,F,1,6 ft 6 in (1.98 m),241 lb (109 kg),1997–03–30,Tennessee,
Ish,Smith,G,14,6 ft 0 in (1.83 m),175 lb (79 kg),1988–07–05,Wake Forest,
Moritz,Wagner,C,21,6 ft 11 in (2.11 m),245 lb (111 kg),1997–04–26,Michigan,
John,Wall,G,2,6 ft 4 in (1.93 m),210 lb (95 kg),1990–09–06,Kentucky,
Jordan,Bell,F,9,6 ft 8 in (2.03 m),216 lb (98 kg),1995–05–22,NaN,
J. J.,Barea,G,5,5 ft 10 in (1.78 m),180 lb (82 kg),1984–06–26,NaN,
Jalen,Brunson,G,13,6 ft 1 in (1.85 m),190 lb (86 kg),1996–08–31,Villanova,
Willie,Cauley-Stein,C,33,7 ft 0 in (2.13 m),242 lb (110 kg),1993–08–18,Kentucky,
Antonius,Cleveland,G,3,6 ft 5 in (1.96 m),195 lb (88 kg),1994–02–02,Southeast Missouri State,
Seth,Curry,G,30,6 ft 2 in (1.88 m),185 lb (84 kg),1990–08–23,Duke,
Luka,Doncic,G/F,77,6 ft 7 in (2.01 m),230 lb (104 kg),1999–02–28,NaN,
Dorian,Finney-Smith,F,10,6 ft 7 in (2.01 m),220 lb (100 kg),1993–05–04,Florida,
Tim,Hardaway,G/F,11,6 ft 5 in (1.96 m),205 lb (93 kg),1992–03–16,Michigan,
Justin,Jackson,F,44,6 ft 7 in (2.01 m),220 lb (100 kg),1995–03–28,North Carolina,
Michael,Kidd-Gilchrist,F,9,6 ft 6 in (1.98 m),232 lb (105 kg),1993–09–26,Kentucky,
Maxi,Kleber,F,42,6 ft 10 in (2.08 m),240 lb (109 kg),1992–01–29,NaN,
Courtney,Lee,G,1,6 ft 5 in (1.96 m),215 lb (98 kg),1985–10–03,Western Kentucky,
Boban,Marjanovic,C,51,7 ft 4 in (2.24 m),290 lb (132 kg),1988–08–15,NaN,
